"2504";"Cherry Doppelbock";4;"Doppelbock";16.0;0.065;"N/A"
"2503";"Hop A-Peel";427;"American Double / Imperial IPA";16.0;0.075;"115"
"2502";"Vanilla Java Porter";427;"American Porter";16.0;0.055;"12"
"2501";"Hopalicious";74;"American Pale Ale (APA)";12.0;0.057;"N/A"
"2500";"Tropical Saison";4;"Saison / Farmhouse Ale";16.0;0.065;"N/A"
"2499";"Beach Patrol";4;"Witbier";16.0;0.065;"N/A"
"2498";"Nuit Serpent";4;"Belgian IPA";16.0;0.05;"N/A"
"2497";"Wobble";117;"American IPA";16.0;0.063;"69"
"2496";"Cold Press";228;"American Black Ale";12.0;0.06;"N/A"
"2495";"Michelada";427;"Fruit / Vegetable Beer";16.0;0.052000000000000005;"N/A"
"2494";"Oberon";164;"American Pale Wheat Ale";12.0;0.057999999999999996;"N/A"
"2493";"I.P. Eh!";71;"American IPA";12.0;0.068;"N/A"
"2492";"Schoolhouse Honey";71;"American Amber / Red Ale";12.0;0.05;"N/A"
"2491";"10 Degrees of Separation";71;"English Brown Ale";12.0;0.055;"N/A"
"2490";"Professor Black";67;"American Stout";12.0;;"N/A"
"2489";"Little Boss";67;"American Pale Wheat Ale";12.0;;"N/A"
"2488";"Van Dayum!";67;"American Amber / Red Ale";12.0;;"N/A"
"2487";"Spirit Animal";67;"American Pale Ale (APA)";12.0;;"N/A"
"2486";"Baby Daddy Session IPA";3;"American IPA";12.0;0.047;"35"
"2485";"Saddle Bronc Brown Ale";24;"American Brown Ale";12.0;0.048;"16"
"2484";"Bomber Mountain Amber Ale";24;"American Amber / Red Ale";12.0;0.046;"20"
"2483";"Hard Cider";20;"Cider";16.0;0.068;"N/A"
"2482";"Totally Radler";20;"Radler";16.0;0.027000000000000003;"21"
"2481";"Paris";4;"Saison / Farmhouse Ale";16.0;0.09;"N/A"
"2480";"Healani";205;"Hefeweizen";12.0;0.045;"N/A"
"2479";"Jammer";17;"Gose";12.0;0.042;"16"
"2478";"Pale Alement";190;"American Pale Ale (APA)";12.0;0.055;"40"
"2477";"Lil' Brainless Raspberries";58;"Fruit / Vegetable Beer";12.0;0.052000000000000005;"N/A"
"2476";"The Grand Army";4;"Belgian IPA";16.0;0.055;"N/A"
"2475";"Slow Ride";78;"American IPA";12.0;0.045;"40"
"2474";"Nooner";222;"German Pilsener";12.0;0.052000000000000005;"N/A"
"2473";"Hopvale Organic Ale";139;"American Pale Ale (APA)";16.0;0.047;"55"
"2472";"U. P. Witbier";357;"Witbier";12.0;;"N/A"
"2471";"Hopkick Dropkick";190;"American Double / Imperial IPA";12.0;0.099;"115"
"2470";"Kreamed Corn";190;"Cream Ale";12.0;0.06;"N/A"
"2469";"Ryecoe";524;"American IPA";16.0;0.062;"N/A"
"2468";"Manitou Amber";301;"American Amber / Red Ale";16.0;0.053;"N/A"
"2467";"Acidulated Trip";4;"Saison / Farmhouse Ale";16.0;0.059000000000000004;"N/A"
"2466";"Root Stock";4;"Rye Beer";16.0;0.066;"N/A"
"2465";"Mind Games";4;"Dunkelweizen";16.0;0.040999999999999995;"N/A"
"2464";"Coconoats";190;"American Pale Wheat Ale";16.0;0.065;"N/A"
"2463";"Union Jack";348;"American IPA";12.0;0.075;"75"
"2462";"Pivo Pils";348;"German Pilsener";12.0;0.053;"N/A"
"2461";"Autumn Winds Fest Beer";217;"Märzen / Oktoberfest";16.0;0.057999999999999996;"N/A"
"2460";"India Pale Ale";321;"American IPA";16.0;0.063;"65"
"2459";"Blackberry Wheat";321;"American Pale Wheat Ale";16.0;0.048;"11"
"2458";"Chupahopra";21;"American IPA";12.0;0.075;"63"
"2457";"312 Urban Pale Ale";32;"American Pale Ale (APA)";16.0;0.054000000000000006;"30"
"2456";"Broad Brook Ale";513;"American Amber / Red Ale";16.0;0.061;"N/A"
"2455";"Lionshead";49;"American Pilsner";12.0;0.045;"N/A"
"2454";"Galaxy High";175;"American Double / Imperial IPA";12.0;0.099;"N/A"
"2453";"Razz Wheat";186;"Fruit / Vegetable Beer";12.0;0.055;"N/A"
"2452";"Hustle";175;"American Amber / Red Ale";12.0;0.057;"42"
"2451";"Pure Fury";175;"American Pale Ale (APA)";12.0;0.055;"42"
"2450";"Self Starter";304;"American IPA";16.0;0.052000000000000005;"67"
"2449";"Flying Sailor";138;"Rye Beer";12.0;0.073;"N/A"
"2448";"Reactor";383;"American IPA";16.0;0.07;"N/A"
"2447";"Mr. Orange";383;"Witbier";16.0;0.057;"N/A"
"2446";"Peanut Butter Jelly Time";430;"American Brown Ale";12.0;0.057999999999999996;"N/A"
"2445";"Troegenator";444;"Doppelbock";16.0;0.08199999999999999;"N/A"
"2444";"Nugget Nectar";444;"American Amber / Red Ale";16.0;0.075;"93"
"2443";"Abigale";17;"Belgian Pale Ale";12.0;0.08;"N/A"
"2442";"Cortez Gold";1;"Belgian Pale Ale";32.0;0.05;"N/A"
"2441";"Mission IPA";1;"American IPA";32.0;0.068;"66"
"2440";"Bay of Bengal Double IPA (2014)";175;"American Double / Imperial IPA";12.0;0.08900000000000001;"126"
"2439";"Christmas Ale";143;"Herbed / Spiced Beer";12.0;0.09;"N/A"
"2438";"Rhode Island Blueberry";177;"Kölsch";12.0;0.046;"11"
"2437";"Newport Storm IPA";177;"American IPA";12.0;0.065;"75"
"2436";"Amber Ale";282;"American Amber / Red Ale";12.0;0.051;"N/A"
"2435";"Watermelon Ale";108;"Fruit / Vegetable Beer";12.0;0.05;"10"
"2434";"Peach Pale Ale";545;"American Pale Ale (APA)";12.0;0.057;"40"
"2433";"Sous Chef";4;"Belgian Strong Pale Ale";16.0;0.08199999999999999;"N/A"
"2432";"White Reaper";472;"Belgian IPA";16.0;0.07;"61"
"2431";"Bobblehead";472;"American Pale Wheat Ale";16.0;0.051;"N/A"
"2430";"Lucky Dog";472;"American Pale Ale (APA)";16.0;0.052000000000000005;"N/A"
"2429";"Voodoo";472;"American Porter";16.0;0.048;"N/A"
"2428";"Four String Vanilla Porter";364;"American Porter";12.0;0.06;"N/A"
"2427";"Suncaster Summer Wheat";364;"American Pale Wheat Ale";12.0;0.05;"28"
